date,venue,city,state,category,etree_comments,ia_sources
1964-03-07,"Palo Alto, CA Top of the Tangent",Palo Alto,CA,,,[]
1965-07-01,Acid Test,Fillmore & L.A.,CA,,date not correct.,[]
1966-01-02,The Unsurpassed Dead Demos,various studio,demos,,,[]
1966-01-29_2,The Matrix,San Francisco,CA,,,[]
1966-02-01,Viola Lee Blues Rehearsals,Los Angeles,CA,,"January-February 1966 ??\n(exact date unknown)\n""The Viola Lee Blues Rehearsals""\n\n\nThis is a wonderful piece of Dead rehearsal tape that I have not seen circulating in the digital realm.\nThe cassette was played back on Nak CR7E with azimuth adjustment.\nSound Forge was used for noise reduction.\nResearch and A>D transfer by Uli Teute\nSound tweaking and SHN seeding by Hanno Bunjes\nAugust 2003\n\nUpdate 5/2018 - according to research done by Lost Live Dead blog guys, it seems likely this material comes from reels labeled ""Watts"". See http://deadessays.blogspot.com/2015/09/deadbase-corrections.html for more information.",[]
1966-02-12_2,Youth Opportunities Center,Comptom,CA,,"Notes:\n\nThe 8th song, previously notated as ""unknown instrumental"" on Deadlists, is a cover of Freddy King's ""Heads Up."" The 9th tune, previously listed as ""The Same Thing (instrumental),"" is definitely NOT that song. Although it is a\n\nstandard blues and sounds similar at the beginning, closer listening makes it pretty obvious that it is an entirely different song, title unknown. The Viola Lee Blues on this expanded version is a different version than on the\n\nprevious three song version of Pico Acid Test. This is an ongoing mystery, although it should be said that both versions are worth having.",[]
1966-02-25_2,Empire Studios,Los Angeles,CA,,"""Sunset Acid Test"" According to Deadbase updates article on Lost Live Dead, it's possible that the Dead played this date. See http://deadessays.blogspot.com/2015/09/deadbase-corrections.html for more info.",[]
1966-03-09,Bear's House,Los Angeles,CA,,"According to Lost Live Dead blog, this is likely to be rehearsal material from Bear's house. See http://deadessays.blogspot.com/2015/09/deadbase-corrections.html for more information.","[""http://www.archive.org/details/gd1966-03-09.sbd.sorochty.125516.flac16"", ""http://www.archive.org/details/gd1966-03-09.136654.practise.sbd.mr.dat48k.sirmick.flac16""]"
1966-03-10,Bear's House,Los Angeles,CA,Rehearsal,"Location Possibly Owsley’s House In Watts\n\nSitting On Top Of The World Practice Session\n\nAccording to Lost Live Dead blog, this is likely to be rehearsal material from Bear's House. See http://deadessays.blogspot.com/2015/09/deadbase-corrections.html for more information.","[""http://www.archive.org/details/gd1966-03-10.136655.sbd.sirmick.flac16""]"
1966-04-07,Unknown,Los Angeles,CA,,,[]
1966-05-25,Unknown Location,San Francisco,CA,,Other artist(s): The Charlatans,[]
1966-06-01_2,U. of Ca. Medical Center,San Francisco,CA,,LSD Conference,[]
1966-10-08_2,Fillmore Auditorium,San Francisco,CA,,"According to deadessays shared stage blog (https://deadessays.blogspot.com/2017/11/the-shared-stage-1965-1975.html) the Dead played this show along with Butterfield Blues Band (headliner); Jefferson Airplane. Source: DeadEssays blog; According to DeadEssays blog the Dead played 10/7, 10/8 and 10/9/66 at the Fillmore Auditorium.",[]
1966-12-05,Studio: 1st album outtakes,San Francisco,CA,,* Jon Hendricks and the Warlocks,"[""http://www.archive.org/details/gd1966-12-05.sbd.kimbro.21295.sbefail.shnf "", ""http://www.archive.org/details/gd1966-12-05.sbd.kimbro.23064.sbeok.shnf""]"
1967-01-13_2,Berkeley Community Theater,Berkeley,CA,,Other artist(s): The Mamas & The Papas,[]
1967-01-14_2,Fillmore Auditorium,San Francisco,CA,,"According to deadessyas shared stage blog (https://deadessays.blogspot.com/2017/11/the-shared-stage-1965-1975.html), the Dead played with Junior Wells Chicago Blues Band, The Doors and Immediate Family. This would probably have been at night since they also played at the Human Be-In in Golden Gate Park on the same day.",[]
1967-04-01_2,The Rock Garden,San Francisco,CA,,Other artist(s): The Charles Lloyd Quintet; Mystery Trend,[]
1967-04-09_2,"Panhandle, Golden Gate Park",San Francisco,CA,,Started at Third floor flat. Haight Street,[]
1967-04-30_2,The Cheetah,Santa Monica,CA,,3:00 PM show,[]
1967-06-01_2,Cafe au Go-Go,New York,NY,,"According to new evidence, it appears the consensus is that this show was not cancelled. See http://lostlivedead.blogspot.com/2009/12/june-1-1967-tompkins-square-park-new.html?showComment=1260988832872#c4798606218581362167 for more information.",[]
1967-06-03_2,Cafe au Go-Go,New York,NY,,"According to new evidence, the current consensus is that this show was not cancelled. See http://lostlivedead.blogspot.com/2009/12/june-1-1967-tompkins-square-park-new.html?showComment=1260988832872#c4798606218581362167 for more information.",[]
1967-06-08_2,Central Park,New York,NY,,Free afternoon Concert,[]
1967-06-16_2,The Hullabaloo,Hollywood,CA,,Late Show. It's been determined that the dead played two shows at the Hullabaloo - 8 PM and 1 AM. See http://lostlivedead.blogspot.com/2012/11/june-16-1967-hullabaloo-los-angeles-ca.html and http://deadessays.blogspot.com/2015/09/deadbase-corrections.html for more information.,[]
1967-06-18_2,"Athletic Field, Monterey Peninsula College",Monterey,CA,,"According to Hootoerollin Around blog, it seems likely that the Dead played this show. See http://hooterollin.blogspot.com/2015/07/grateful-dead-performance-list-january.html for more information.\n\nThis is not the Monterey Pop Festival set",[]
1967-07-16_2,Golden Gardens Beach,Seattle,WA,,Afternoon show,[]
1967-08-05_2,O'Keefe Center,Toronto,ON,,"This is the matinee (Early) show that was played, according to Lost Live Dead. See http://deadessays.blogspot.com/2015/09/deadbase-corrections.html for more information.",[]
1967-08-06_2,Place Ville Marie,Montreal,QC,,,[]
1967-09-09_2,Volunteer Park,Seattle,WA,,,[]
1967-10-20_2,American Studios,North Hollywood,CA,,,"[""http://www.archive.org/details/gd67-10-20.studio.poynton-sirmick.85631.sbeok.flac16""]"
